Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
611810,Miscellaneous,05/05/2022 09:00:00 AM,05/05/2022 04:00:00 PM,Parks Department,Special Event,Bronx,"Pelham Bay Park and Orchard Beach: Bruckner Picnic Area-Jarvis-01 ,Pelham Bay Park and Orchard Beach: Bruckner Picnic Area-Jarvis-02   ,Pelham Bay Park: Softball-04",,N/A,"28,","45,"
616700,Deb's Birthday Party,06/11/2022 03:00:00 PM,06/11/2022 07:00:00 PM,Parks Department,Special Event,Brooklyn,Prospect Park: CONCERT GROVE PAVILION,,N/A,"55,","78,"
625862,Free electronic waste recycling event,03/26/2022 10:00:00 AM,03/26/2022 02:00:00 PM,Parks Department,Special Event,Queens,Rosemary's Playground: Rosemary's Playground,,N/A,"5,","104,"
619040,Scandinavian Music Festival,06/05/2022 02:00:00 PM,06/05/2022 03:30:00 PM,Parks Department,Special Event,Manhattan,Fort Tryon Park: Billings Lawn,,N/A,"12,","34,"
622993,Celebration,03/08/2022 12:00:00 PM,03/08/2022 01:00:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Wagner Cove ,Central Park: Cherry Hill",,N/A,"64,","22,"
605756,Soccer -Regulation,03/15/2022 08:00:00 AM,03/15/2022 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-73",,N/A,"11,","25,"
608823,Soccer - Non Regulation,03/12/2022 09:00:00 AM,03/12/2022 05:00:00 PM,Parks Department,Sport - Youth,Brooklyn,South Oxford Park: Lawn,,N/A,"2,","88,"
623789,Miscellaneous,05/23/2022 09:00:00 AM,05/23/2022 02:00:00 PM,Parks Department,Special Event,Brooklyn,"Canarsie Park: Baseball-01 ,Canarsie Park: Softball-02 ,Canarsie Park: Softball-03 ,Canarsie Park: Softball-04 ,Canarsie Park: Softball-05",,N/A,"18,","69,"
622717,Celebration,10/28/2022 01:00:00 PM,10/28/2022 03:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Dene Lawn,,N/A,"64,","22,"
623682,Balters Baby Shower,05/07/2022 11:00:00 AM,05/07/2022 07:00:00 PM,Parks Department,Special Event,Brooklyn,Prospect Park: CONCERT GROVE PAVILION,,N/A,"55,","78,"
622948,Puerto Rican Day parade 2022,06/12/2022 12:00:00 AM,06/12/2022 10:00:00 PM,Parks Department,Special Event,Manhattan,"Central Park: East Drive   ,Central Park: Hans Christian Anderson Statue ,Central Park: Dene Lawn ,Central Park: Johnson Playground Lawns ,Central Park: Pilgrim Hill ,Central Park: Cedar Hill ,Central Park: Lawn Behind the Met Museum ,Central Park: Lawn North of Levin Playground ,Central Park: Lawn Outside Levin Playground (Section A) ,Central Park: Lawn Outside Levin Playground (Section B) ,Central Park: Kerbs Boathouse ,Central Park: Arsenal ,Central Park: Arsenal Plaza ,Central Park: Grand Ar",,N/A,"5, 64, 8,","18, 19, 22,"
